AddressTypeCode,AddressTypeText,,,
-,-,,,
AstAd,Assistance disbursement address,,,
CoA,Country or territory of asylum - current,,,
CoO,Country or territory of origin - most recent,,,
Integ,Local integration location,,,
Mail,Mailing address,,,
PCoA,Country or territory of asylum - earlier,,,
PCOA,Country or territory of asylum - earlier,,,
PCoO,Country or territory of origin - earlier,,,
PMail,Previous mailing address,,,
RST,Resettlement location,,,
Trans,Transit location,,,
VolRe,Intended return location,,,
EML,Email of person of Concern,,,
TEL,Telephone of person of Concern,,,
CoR,Country of Residence - Current,,,
PCoR,Country of Residence - Earlier,,,
Integ,Local integration location,,,