CountryCode,CountryText,NationalityText,,
-,-,-,,
ABW,Aruba,of Aruba,,
AFG,Afghanistan,Afghan,,
AIA,Anguilla,Anguilla,,
ALB,Albania,Albanian,,
ALG,Algeria,Algerian,,
AND,Andorra,Andorran,,
ANG,Angola,Angolan,,
ANT,Antigua and Barbuda,Antiguan,,
ARE,Egypt,Egyptian,,
ARG,Argentina,Argentine,,
ARM,Armenia,Armenian,,
ASM,American Samoa,Samoan,,
ATA,Antarctica,Antarctica,,
ATF,French Southern Territories,French Southern Territories,,
AUL,Australia,Australian,,
AUS,Austria,Austrian,,
AZE,Azerbaijan,Azerbaijani,,
BAH,Bahrain,Bahraini,,
BAR,Barbados,Barbadian,,
BDI,Burundi,Burundian,,
BEL,Belgium,Belgian,,
BEN,Benin,Beninese,,
BER,Bermuda,Bermudian,,
BES,"Bonaire, Saint Eustatius and Saba","of Bonaire, Saint Eustatius and Saba",,
BGD,Bangladesh,Bangladeshi,,
BHS,Bahamas,Bahamian,,
BHU,Bhutan,Bhutanese,,
BKF,Burkina Faso,Burkinabe,,
BLR,Belarus,Belarusian,,
BOL,"Bolivia, Plurinational State of",Bolivian,,
BOT,Botswana,of Botswana,,
BRA,Brazil,Brazilian,,
BRU,Brunei Darussalam,of Brunei Darussalam,,
BSN,Bosnia and Herzegovina,Bosnian,,
BUL,Bulgaria,Bulgarian,,
BVT,Bouvet Island,Bouvet Island,,
BZE,Belize,Belizean,,
CAM,Cambodia,Cambodian,,
CAN,Canada,Canadian,,
CAR,Central African Republic,Central African,,
CAY,Cayman Islands,Cayman Islander,,
CCK,Cocos (Keeling) Island,Cocos (Keeling) Islander,,
CHD,Chad,Chadian,,
CHI,China,Chinese,,
CHL,Chile,Chilean,,
CMR,Cameroon,Cameroonian,,
COB,"Congo, Republic of the",Congolese (Brazzaville),,
COD,Democratic Republic of the Congo,Congolese (DRC),,
COI,Comoros,Comorian,,
COK,Cook Islands,of Cook Islands,,
COL,Colombia,Colombian,,
COS,Costa Rica,Costa Rican,,
CUB,Cuba,Cuban,,
CUW,Curaçao,of Curaçao,,
CVI,Cape Verde,Cape Verdean,,
CXR,Christmas Island,Christmas Islander,,
CYP,Cyprus,Cypriot,,
CZE,Czech Republic,Czech,,
DEN,Denmark,Danish,,
DJB,Djibouti,Djiboutian,,
DMA,Dominica,Dominican,,
DOM,Dominican Republic,Dominican Republican,,
DUB,Dubai,Dubai,,
ECU,Ecuador,Ecuadorian,,
EGU,Equatorial Guinea,of Equatorial Guinea,,
ERT,Eritrea,Eritrean,,
EST,Estonia,Estonian,,
ETH,Ethiopia,Ethiopian,,
FGU,French Guiana,Guiana,,
FIJ,Fiji,Fiji Islander,,
FIN,Finland,Finnish,,
FLK,Falkland Islands (Malvinas),Falkland Islander (Malvinas),,
FNC,French New Caledonia,French New Caledonian,,
FPO,French Polynesia,French (Polynesian),,
FRA,France,French,,
FRO,Faroe Islands,Faroe Islander,,
FSM,"Micronesia, Federated States of",Micronesia,,
GAB,Gabon,Gabonese,,
GAM,Gambia,Gambian,,
GBR,United Kingdom of Great Britain and North. Ireland,British,,
GEO,Georgia,Georgian,,
GFR,Germany,German,,
GHA,Ghana,Ghanaian,,
GIB,Gibraltar,Gibraltar,,
GNB,Guinea-Bissau,Guinea-Bissauan,,
GRE,Greece,Greek,,
GRL,Greenland,Greenlander,,
GRN,Grenada,Grenadian,,
GUA,Guatemala,Guatemalan,,
GUI,Guinea,Guinean,,
GUM,Guam,USA (Guam),,
GUY,Guyana,Guyanese,,
HAI,Haiti,Haitian,,
HKG,"Hong Kong, (SAR, China)",Chinese (Hong Kong),,
HMD,Heard Island & Mcdonald Island,Heard Island & Mcdonald Islander,,
HON,Honduras,Honduran,,
HRV,Croatia,Croatian,,
HUN,Hungary,Hungarian,,
ICE,Iceland,Icelander,,
ICO,Côte d'Ivoire,Ivorian,,
IND,India,Indian,,
INS,Indonesia,Indonesia,,
IOT,British Indian Ocean Territory,British Indian Ocean Territory,,
IRE,Ireland,Irish,,
IRN,"Iran, Islamic Republic of",Iranian,,
IRQ,Iraq,Iraqi,,
ISR,Israel,Israeli,,
ITA,Italy,Italian,,
JAM,Jamaica,Jamaican,,
JOR,Jordan,Jordanian,,
JPN,Japan,Japanese,,
KAZ,Kazakhstan,Kazakh,,
KEN,Kenya,Kenyan,,
KGZ,Kyrgyzstan,Kyrgyz,,
KIR,Kiribati,of Kiribati,,
KNA,Saint Kitts and Nevis,of Saint Kitts and Nevis Island,,
KOR,Republic of Korea,South Korean,,
KRN,"Democratic People's Republic of Korea,",North Korean,,
KUR,Kurdistan,Kurd,,
KUW,Kuwait,Kuwaiti,,
LAO,Lao People's Democratic Republic,Lao,,
LBR,Liberia,Liberian,,
LBY,Libyan Arab Jamahiriya,Libyan,,
LCA,Saint Lucia,Saint Lucian,,
LEB,Lebanon,Lebanese,,
LES,Lesotho,of Lesotho,,
LIE,Liechtenstein,of Liechtenstein,,
LKA,Sri Lanka,Sri Lankan,,
LTU,Lithuania,Lithuanian,,
LUX,Luxembourg,of Luxembourg,,
LVA,Latvia,Latvian,,
MAC,Macau,Macau,,§
MAD,Madagascar,Madagasy,,
MAR,Martinique,Martinique,,
MAU,Mauritania,Mauritanian,,
MCD,The former Yugoslav Republic of Macedonia,MacedonianLanguageReadCode,,
MCO,Monaco,Monesgasque,,
MDA,Republic of Moldova,Moldovan,,
MDV,Maldives,Maldivian,,
MEX,Mexico,Mexican,,
MHL,Marshall Islands,Marshallese,,
MLI,Mali,Malian,,
MLS,Malaysia,Malaysian,,
MLW,Malawi,Malawian,,
MNE,Montenegro,Montenegrin,,
MNG,Mongolia,Mongolian,,
MNP,Northern Mariana Islands,Northern Mariana Islander,,
MOR,Morocco,Moroccan,,
MOZ,Mozambique,Mozambican,,
MSR,Montserrat,Montserrat,,
MTA,Malta,Maltese,,
MTS,Mauritius,Mauritian,,
MYA,Myanmar,Myanmar,,
MYT,Mayotte,Mayotte,,
NAM,Namibia,Namibian,,
NAN,Netherlands Antilles,Netherlands Antilles,,
NCL,New Caledonia,New Caledonian,,
NEP,Nepal,Nepalese,,
NET,Netherlands,Netherlander,,
NFK,Norfolk Islands,Norfolk Islander,,
NGR,Niger,of the Niger,,
NIC,Nicaragua,Nicaraguan,,
NIG,Nigeria,Nigerian,,
NIU,Niue,of Niue,,
NOR,Norway,Norwegian,,
NRU,Nauru,Nauruan,,
NZL,New Zealand,New Zealander,,
OMN,Oman,Omani,,
PAK,Pakistan,Pakistani,,
PAL,Palestine,Palestinian,,
PAN,Panama,Panamian,,
PAR,Paraguay,Paraguayan,,
PCN,Pitcairn,Pitcairn,,
PER,Peru,Peruvian,,
PHI,Philippines,Filipino,,
PLW,Palau,Palauan,,
PNG,Papua New Guinea,Papua New Guinean,,
POL,Poland,Polish,,
POR,Portugal,Portuguese,,
PUE,Puerto Rico,Puerto Rican,,
QAT,Qatar,of Qatar,,
REU,"Reunion, Department of",French (Reunion),,
ROM,Romania,Romanian,,
RSA,South Africa,South African,,
RUS,Russian Federation,Russian,,
RWA,Rwanda,Rwandan,,
SAL,El Salvador,Salvadorian,,
SAU,Saudi Arabia,Saudi Arabian,,
SCG,Serbia and Montenegro,of Serbia and Montenegro,,
SEN,Senegal,Senegalese,,
SER,Serbia,Serbian,,
SEY,Seychelles,Seychellois,,
SGS,S.Georgia & S.Sandwich Is.,S.Georgia & S.Sandwich Islander,,
SHN,Saint Helena,Saint Helena,,
SIK,Sikkim,Sikkim,,
SIN,Singapore,Singaporean,,
SJM,Svalbard and Jam Mayen,Svalbard and Jam Mayen,,
SLE,Sierra Leone,Sierra Leonean,,
SMA,San Marino,of San Marino,,
SOL,Solomon Islands,Solomon Islands,,
SOM,Somalia,Somali,,
SOV,Soviet Union,Soviet Union,,
SPA,Spain,Spaniard,,
SPM,Saint Pierre et Miquelon,of Saint Pierre et Miquelon,,
SRV,Viet Nam,Vietnamese,,
SSD,"South Sudan, The Republic of",South Sudanese,,
STK,Saint Christopher & Nevis,Saint Christopher & Nevis Islander,,
STP,Sao Tome and Principe,of Sao Tome and Principe,,
SUD,Sudan,Sudanese,,
SUR,Suriname,Surinamese,,
SVK,Slovakia,Slovak,,
SVN,Slovenia,Slovene,,
SWA,Swaziland,Swazi,,
SWE,Sweden,Swede,,
SWI,Switzerland,Swiss,,
SXM,Saint Maarten (NET),of Saint Maarten,,
SYR,Syrian Arab Republic,Syrian,,
TAN,United Republic of Tanzania,Tanzanian,,
TCI,Turks and Caicos Islands,Turks and Caicos Islander,,
THA,Thailand,Thai,,
TIB,"Tibet (SAR, China)",Chinese (Tibetan),,
TJK,Tajikistan,Tajik,,
TKL,Tokelau,Tokelau,,
TKM,Turkmenistan,Turkmen,,
TMP,Timor-Leste,of Timor-Leste,,
TOG,Togo,Togolese,,
TON,Tonga,Tongan,,
TRT,Trinidad and Tobago,of Trinidad and Tobago,,
TUN,Tunisia,Tunisian,,
TUR,Turkey,Turkish,,
TUV,Tuvalu,Tuvaluan,,
TWN,"Taiwan, Province of China",Taiwanese,,
U,Unknown,Unknown,,
UAE,United Arab Emirates,of the United Arab Emirates,,
UGA,Uganda,Ugandan,,
UKR,Ukraine,Ukrainian,,
UMI,US Minor Outlying Islands,USA (Minor Outlying Island),,
URU,Uruguay,Uruguayan,,
USA,United States of America,of the United States,,
UZB,Uzbekistan,Uzbek,,
VAT,The Holy See,of the Holy See,,
VCT,Saint Vincent and the Grenadines,of Saint Vincent  and the Grenadines,,
VEN,Venezuela,Venezuelan,,
VGB,Virgin Islands (British),British (Virgin Islander),,
VIR,Virgin Islands (U.S.),USA (Virgin Islander),,
VUT,Vanuatu,of Vanuatu,,
WES,Samoa,Samoan,,
WLF,Wallis and Futuna Islands,Wallis and Futuna Islands,,
WSH,Western Sahara,Western Sahara,,
YEM,Yemen,Yemeni,,
YUG,Yugoslavia,Yugoslav,,
ZAM,Zambia,Zambian,,
ZIM,Zimbabwe,Zimbabwean,,
ZZZ,None/Stateless,None/Stateless,,